sequence,id,type,chapter,timeline_in,timeline_out,source,source_in,source_out,measured_seconds,planned_frames,planned_seconds,intermediate
1,HOOK,video,注目発言｜成長への投資を、どう考える？,0.0,21.433333333333334,C:\Python\REX_AI\Youtube_Project\Politics_Economics\2026-09-09_fiscal_policy\media\sources\HDIBA7-83yE.mp4,150.16,171.6,21.440000000,643,21.433333333,C:\Python\REX_AI\Youtube_Project\Politics_Economics\2026-09-09_fiscal_policy\media\sample_v1\rendered\HOOK.mkv
2,N01,narration,INTRODUCTION,21.433333333333334,37.4,C:\Python\REX_AI\Youtube_Project\Politics_Economics\2026-09-09_fiscal_policy\speech\sample_v1\N01.wav,,,15.950884000,479,15.966666667,C:\Python\REX_AI\Youtube_Project\Politics_Economics\2026-09-09_fiscal_policy\media\sample_v1\rendered\N01.mkv
3,C01a,video,01｜国債・財政への不安,37.4,74.76666666666667,C:\Python\REX_AI\Youtube_Project\Politics_Economics\2026-09-09_fiscal_policy\media\sources\HDIBA7-83yE.mp4,142.24,179.6,37.360000000,1121,37.366666667,C:\Python\REX_AI\Youtube_Project\Politics_Economics\2026-09-09_fiscal_policy\media\sample_v1\rendered\C01a.mkv
4,C01b,video,01｜国債・財政への不安,74.76666666666667,90.53333333333333,C:\Python\REX_AI\Youtube_Project\Politics_Economics\2026-09-09_fiscal_policy\media\sources\HDIBA7-83yE.mp4,200.6,216.35,15.750000000,473,15.766666667,C:\Python\REX_AI\Youtube_Project\Politics_Economics\2026-09-09_fiscal_policy\media\sample_v1\rendered\C01b.mkv
5,C02a,video,01｜借換えと利払いの論点,90.53333333333333,130.0,C:\Python\REX_AI\Youtube_Project\Politics_Economics\2026-09-09_fiscal_policy\media\sources\LRcGT_xzWpY.mp4,882.12,921.6,39.480000000,1184,39.466666667,C:\Python\REX_AI\Youtube_Project\Politics_Economics\2026-09-09_fiscal_policy\media\sample_v1\rendered\C02a.mkv
6,C02b,video,01｜借換えと利払いの論点,130.0,158.16666666666666,C:\Python\REX_AI\Youtube_Project\Politics_Economics\2026-09-09_fiscal_policy\media\sources\LRcGT_xzWpY.mp4,934.12,962.3,28.180000000,845,28.166666667,C:\Python\REX_AI\Youtube_Project\Politics_Economics\2026-09-09_fiscal_policy\media\sample_v1\rendered\C02b.mkv
7,C02c,video,01｜借換えと利払いの論点,158.16666666666666,177.5,C:\Python\REX_AI\Youtube_Project\Politics_Economics\2026-09-09_fiscal_policy\media\sources\LRcGT_xzWpY.mp4,1010.48,1029.8,19.320000000,580,19.333333333,C:\Python\REX_AI\Youtube_Project\Politics_Economics\2026-09-09_fiscal_policy\media\sample_v1\rendered\C02c.mkv
8,N02,narration,01 / お金の流れ,177.5,195.5,C:\Python\REX_AI\Youtube_Project\Politics_Economics\2026-09-09_fiscal_policy\speech\sample_v1\N02.wav,,,18.004875000,540,18.000000000,C:\Python\REX_AI\Youtube_Project\Politics_Economics\2026-09-09_fiscal_policy\media\sample_v1\rendered\N02.mkv
9,ND01,video,01｜ネット資金需要：会田氏の分析・提案,195.5,282.73333333333335,C:\Python\REX_AI\Youtube_Project\Politics_Economics\2026-09-09_fiscal_policy\media\sources\FjHO1E_QLVo.mp4,1508.24,1595.48,87.240000000,2617,87.233333333,C:\Python\REX_AI\Youtube_Project\Politics_Economics\2026-09-09_fiscal_policy\media\sample_v1\rendered\ND01.mkv
10,ND02,video,01｜ネット資金需要：会田氏の分析・提案,282.73333333333335,349.23333333333335,C:\Python\REX_AI\Youtube_Project\Politics_Economics\2026-09-09_fiscal_policy\media\sources\FjHO1E_QLVo.mp4,1701,1767.5,66.500000000,1995,66.500000000,C:\Python\REX_AI\Youtube_Project\Politics_Economics\2026-09-09_fiscal_policy\media\sample_v1\rendered\ND02.mkv
