frame,time_s,mouth_open_y,mouth_form,eye_l_open,eye_r_open,breath,angle_z,phoneme,mora
0,0.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,sil,
1,0.033333,0.000000,0.000000,1.000000,1.000000,0.019723,0.000000,sil,
2,0.066667,0.059133,0.000000,1.000000,1.000000,0.039839,0.000000,sil,
3,0.100000,0.355179,-0.008649,1.000000,1.000000,0.060391,0.000000,k,コ
4,0.133333,0.572504,-0.062746,1.000000,1.000000,0.081423,0.000000,o,コ
5,0.166667,0.590000,-0.227888,1.000000,1.000000,0.102973,0.000000,o,コ
6,0.200000,0.585976,-0.475267,1.000000,1.000000,0.125079,0.000000,o,コ
7,0.233333,0.354299,-0.627588,1.000000,1.000000,0.147776,0.000000,o,コ
8,0.266667,0.152456,-0.596397,1.000000,1.000000,0.171093,0.000000,N,ン
9,0.300000,0.356971,-0.458768,1.000000,1.000000,0.195059,0.000000,N,ン
10,0.333333,0.537863,-0.279580,1.000000,1.000000,0.219698,0.000000,k,カ
11,0.366667,0.783983,-0.057116,1.000000,1.000000,0.245032,0.000000,a,カ
12,0.400000,0.636201,0.199854,1.000000,1.000000,0.271079,0.000000,a,カ
13,0.433333,0.377892,0.347525,1.000000,1.000000,0.297852,0.000000,i,イ
14,0.466667,0.330953,0.208702,1.000000,1.000000,0.325361,0.000000,n,ノ
15,0.500000,0.372411,-0.137949,1.000000,1.000000,0.353613,0.000000,n,ノ
16,0.533333,0.340000,-0.149902,1.000000,1.000000,0.358697,0.000000,o,ノ
17,0.566667,0.000000,0.000000,1.000000,1.000000,0.363840,0.000000,p,ポ
18,0.600000,0.000000,0.000000,1.000000,1.000000,0.369027,0.000000,p,ポ
19,0.633333,0.144281,0.000000,1.000000,1.000000,0.374244,0.000000,p,ポ
20,0.666667,0.484281,-0.006644,1.000000,1.000000,0.379476,0.000000,o,ポ
21,0.700000,0.502107,-0.200083,1.000000,1.000000,0.384711,0.000000,o,ポ
22,0.733333,0.421490,-0.033212,1.000000,1.000000,0.390003,0.000000,i,イ
23,0.766667,0.410870,0.344930,1.000000,1.000000,0.396301,0.000000,i,イ
24,0.800000,0.222653,0.413255,1.000000,1.000000,0.403872,0.000000,i,イ
25,0.833333,0.156265,0.215143,1.000000,1.000000,0.412647,0.000000,N,ン
26,0.866667,0.300878,-0.091555,1.000000,1.000000,0.422530,0.000000,N,ン
27,0.900000,0.370776,-0.405637,1.000000,1.000000,0.433400,0.000000,t,ト
28,0.933333,0.532004,-0.656962,1.000000,1.000000,0.445109,0.000000,o,ト
29,0.966667,0.486450,-0.770755,1.000000,1.000000,0.457493,0.000000,o,ト
30,1.000000,0.462676,-0.726420,1.000000,1.000000,0.470366,0.000000,w,ワ
31,1.033333,0.660965,-0.584337,1.000000,1.000000,0.483531,0.000000,w,ワ
32,1.066667,0.720658,-0.411177,1.000000,1.000000,0.496784,0.000000,a,ワ
33,1.100000,0.720658,-0.240415,1.000000,1.000000,0.509911,0.000000,a,ワ
34,1.133333,0.680000,-0.093338,1.000000,1.000000,0.522701,0.000000,a,ワ
35,1.166667,0.340000,0.014255,1.000000,1.000000,0.534948,0.000000,a,ワ
36,1.200000,0.000000,0.042112,1.000000,1.000000,0.546453,0.000000,a,ワ
37,1.233333,0.000000,0.004814,1.000000,1.000000,0.557029,0.000000,a,ワ
38,1.266667,0.000000,0.000000,1.000000,1.000000,0.566507,0.000000,sp,","
39,1.300000,0.000000,0.000000,1.000000,1.000000,0.574739,0.000000,sp,","
40,1.333333,0.000000,0.000000,1.000000,1.000000,0.581599,0.000000,sp,","
41,1.366667,0.000000,0.000000,1.000000,1.000000,0.586988,0.000000,sp,","
42,1.400000,0.000000,0.000000,1.000000,1.000000,0.590835,0.000000,sp,","
43,1.433333,0.000000,0.000000,1.000000,1.000000,0.593098,0.000000,sp,","
44,1.466667,0.000000,0.000000,1.000000,1.000000,0.593768,0.000000,sp,","
45,1.500000,0.000000,0.000000,1.000000,1.000000,0.592863,0.000000,sp,","
46,1.533333,0.000000,0.000000,1.000000,1.000000,0.590434,0.000000,sp,","
47,1.566667,0.000000,0.000000,1.000000,1.000000,0.586559,0.000000,sp,","
48,1.600000,0.000000,0.000000,1.000000,1.000000,0.581344,0.000000,sp,","
49,1.633333,0.205814,0.000000,1.000000,1.000000,0.574920,0.000000,m,ミ
50,1.666667,0.388919,0.055373,1.000000,1.000000,0.567438,0.000000,i,ミ
51,1.700000,0.226087,0.107041,1.000000,1.000000,0.559069,0.000000,i,ミ
52,1.733333,0.104500,0.000000,1.000000,1.000000,0.549998,0.000000,cl,ッ
53,1.766667,0.188828,0.008719,1.000000,1.000000,0.540420,0.000000,ts,ツ
54,1.800000,0.218875,-0.093092,1.000000,1.000000,0.530536,0.000000,ts,ツ
55,1.833333,0.336487,-0.352741,1.000000,1.000000,0.520548,0.000000,u,ツ
56,1.866667,0.357438,-0.359344,1.000000,1.000000,0.510657,0.000000,u,ツ
57,1.900000,0.460690,-0.174888,1.000000,1.000000,0.501054,0.000000,d,デ
58,1.933333,0.559431,0.035308,1.000000,1.000000,0.491921,0.000000,e,デ
59,1.966667,0.253085,0.117354,1.000000,1.000000,0.483423,0.000000,e,デ
60,2.000000,0.190000,0.048366,1.000000,1.000000,0.475705,0.000000,s,ス
61,2.033333,0.190000,-0.100790,1.000000,1.000000,0.468892,0.000000,s,ス
62,2.066667,0.188413,-0.270208,1.000000,1.000000,0.463082,0.000000,s,ス
63,2.100000,0.092286,-0.388191,0.450000,0.450000,0.458349,0.000000,s,ス
64,2.133333,0.000000,-0.220096,0.000000,0.000000,0.454664,0.000000,u,ス
65,2.166667,0.000000,-0.007701,0.000000,0.000000,0.451080,0.000000,u,ス
66,2.200000,0.000000,0.000000,0.250000,0.250000,0.447301,0.000000,sp,.
67,2.233333,0.000000,-0.012395,0.600000,0.600000,0.443338,0.000000,sil,
68,2.266667,0.000000,-0.053542,0.840000,0.840000,0.439201,0.000000,sil,
69,2.300000,0.000000,0.066816,1.000000,1.000000,0.434902,0.000000,sil,
70,2.333333,0.000000,0.248811,1.000000,1.000000,0.430453,0.000000,sil,
71,2.366667,0.194625,0.423932,1.000000,1.000000,0.425865,0.000000,sil,
72,2.400000,0.260277,0.568865,1.000000,1.000000,0.421151,0.000000,h,ヒ
73,2.433333,0.357121,0.598920,1.000000,1.000000,0.416325,0.000000,h,ヒ
74,2.466667,0.338765,0.399477,1.000000,1.000000,0.411399,0.000000,i,ヒ
75,2.500000,0.417464,-0.023096,1.000000,1.000000,0.406387,0.000000,t,ト
76,2.533333,0.535083,-0.481574,1.000000,1.000000,0.401303,0.000000,o,ト
