frame,time_s,mouth_open_y,mouth_form,eye_l_open,eye_r_open,breath,angle_z,phoneme,mora
0,0.000000,0.000000,0.000000,1.000000,1.000000,0.593756,0.000000,sil,
1,0.033333,0.000000,0.000000,1.000000,1.000000,0.593613,0.000000,sil,
2,0.066667,0.076974,0.000000,1.000000,1.000000,0.593187,0.000000,sil,
3,0.100000,0.461636,0.011810,1.000000,1.000000,0.592488,0.000000,g,ゲ
4,0.133333,0.741704,0.057010,1.000000,1.000000,0.591521,0.000000,e,ゲ
5,0.166667,0.745488,0.154657,1.000000,1.000000,0.590296,0.000000,e,ゲ
6,0.200000,0.344214,0.264174,1.000000,1.000000,0.588820,0.000000,e,ゲ
7,0.233333,0.183694,0.327940,1.000000,1.000000,0.587099,0.000000,N,ン
8,0.266667,0.225533,0.347196,1.000000,1.000000,0.585143,0.000000,z,ゼ
9,0.300000,0.232597,0.348414,1.000000,1.000000,0.582958,0.000000,z,ゼ
10,0.333333,0.497282,0.325226,1.000000,1.000000,0.580552,0.000000,z,ゼ
11,0.366667,0.737116,0.213583,1.000000,1.000000,0.577933,0.000000,e,ゼ
12,0.400000,0.701612,-0.040264,1.000000,1.000000,0.575108,0.000000,e,エ
13,0.433333,0.646049,-0.260647,1.000000,1.000000,0.572085,0.000000,o,オ
14,0.466667,0.298802,-0.423504,1.000000,1.000000,0.568871,0.000000,o,オ
15,0.500000,0.228000,-0.476501,1.000000,1.000000,0.565475,0.000000,s,ス
16,0.533333,0.228283,-0.466121,1.000000,1.000000,0.561904,0.000000,s,ス
17,0.566667,0.296912,-0.439694,1.000000,1.000000,0.558165,0.000000,s,ス
18,0.600000,0.394327,-0.416654,1.000000,1.000000,0.554266,0.000000,u,ス
19,0.633333,0.267511,-0.401225,1.000000,1.000000,0.550214,0.000000,r,ル
20,0.666667,0.318950,-0.385714,1.000000,1.000000,0.546018,0.000000,r,ル
21,0.700000,0.478758,-0.349538,1.000000,1.000000,0.541685,0.000000,u,ル
22,0.733333,0.536922,-0.276524,1.000000,1.000000,0.537222,0.000000,n,ナ
23,0.766667,0.666793,-0.177618,1.000000,1.000000,0.532638,0.000000,n,ナ
24,0.800000,0.839926,-0.085848,1.000000,1.000000,0.527939,0.000000,a,ナ
25,0.833333,0.563351,-0.028417,1.000000,1.000000,0.523133,0.000000,r,ラ
26,0.866667,0.547427,-0.005752,1.000000,1.000000,0.518229,0.000000,r,ラ
27,0.900000,0.757886,0.000000,1.000000,1.000000,0.513233,0.000000,r,ラ
28,0.933333,0.850127,0.000000,1.000000,1.000000,0.508153,0.000000,a,ラ
29,0.966667,0.678730,0.000000,1.000000,1.000000,0.502997,0.000000,a,ラ
30,1.000000,0.000000,0.000000,1.000000,1.000000,0.497773,0.000000,a,ラ
31,1.033333,0.000000,0.000000,1.000000,1.000000,0.492487,0.000000,sp,","
32,1.066667,0.000000,0.000000,1.000000,1.000000,0.487148,0.000000,sp,","
33,1.100000,0.067244,0.000000,1.000000,1.000000,0.481764,0.000000,sp,","
34,1.133333,0.181675,0.000000,1.000000,1.000000,0.476341,0.000000,z,ザ
35,1.166667,0.246454,0.002727,1.000000,1.000000,0.470888,0.000000,z,ザ
36,1.200000,0.464605,0.025239,1.000000,1.000000,0.465413,0.015754,z,ザ
37,1.233333,0.783088,0.106780,1.000000,1.000000,0.459921,0.171642,z,ザ
38,1.266667,0.718713,0.278758,1.000000,1.000000,0.454423,0.590057,a,ザ
39,1.300000,0.501739,0.494139,1.000000,1.000000,0.448924,1.254110,a,ザ
40,1.333333,0.456736,0.634596,1.000000,1.000000,0.443433,2.101301,i,イ
41,1.366667,0.500627,0.635733,1.000000,1.000000,0.437957,3.051898,i,イ
42,1.400000,0.651951,0.540197,1.000000,1.000000,0.432504,4.016435,g,ゲ
43,1.433333,0.650149,0.421664,1.000000,1.000000,0.427081,4.904131,e,ゲ
44,1.466667,0.381714,0.320236,1.000000,1.000000,0.421697,5.631441,e,ゲ
45,1.500000,0.325122,0.240194,1.000000,1.000000,0.416358,6.129913,N,ン
46,1.533333,0.501753,0.169573,1.000000,1.000000,0.411073,6.352635,N,ン
