frame,time_s,mouth_open_y,mouth_form,eye_l_open,eye_r_open,breath,angle_z,phoneme,mora
0,0.000000,0.000000,0.000000,1.000000,1.000000,0.512087,0.000000,sil,
1,0.033333,0.000000,0.000000,1.000000,1.000000,0.512087,0.000000,sil,
2,0.066667,0.076974,0.000000,1.000000,1.000000,0.512087,0.000000,sil,
3,0.100000,0.461636,0.011810,1.000000,1.000000,0.512087,0.000000,g,ゲ
4,0.133333,0.741704,0.057010,1.000000,1.000000,0.511690,0.000000,e,ゲ
5,0.166667,0.745488,0.154657,1.000000,1.000000,0.510538,0.000000,e,ゲ
6,0.200000,0.344214,0.264174,1.000000,1.000000,0.508692,0.000000,e,ゲ
7,0.233333,0.183694,0.327940,1.000000,1.000000,0.506212,0.000000,N,ン
8,0.266667,0.225533,0.347196,1.000000,1.000000,0.503159,0.000000,z,ゼ
9,0.300000,0.232597,0.348414,1.000000,1.000000,0.499593,0.000000,z,ゼ
10,0.333333,0.497282,0.325226,1.000000,1.000000,0.495575,0.000000,z,ゼ
11,0.366667,0.737116,0.213583,1.000000,1.000000,0.491163,0.000000,e,ゼ
12,0.400000,0.701612,-0.040264,1.000000,1.000000,0.486420,0.000000,e,エ
13,0.433333,0.646049,-0.260647,1.000000,1.000000,0.481406,0.000000,o,オ
14,0.466667,0.298802,-0.423504,1.000000,1.000000,0.476180,0.000000,o,オ
15,0.500000,0.228000,-0.476501,1.000000,1.000000,0.470803,0.000000,s,ス
16,0.533333,0.228283,-0.466121,1.000000,1.000000,0.465336,0.000000,s,ス
17,0.566667,0.296912,-0.439694,1.000000,1.000000,0.459838,0.000000,s,ス
18,0.600000,0.394327,-0.416654,1.000000,1.000000,0.454371,0.000000,u,ス
19,0.633333,0.267511,-0.401225,1.000000,1.000000,0.448994,0.000000,r,ル
20,0.666667,0.318950,-0.385714,1.000000,1.000000,0.443768,0.000000,r,ル
21,0.700000,0.478758,-0.349538,1.000000,1.000000,0.438754,0.000000,u,ル
22,0.733333,0.536922,-0.276524,1.000000,1.000000,0.434011,0.000000,n,ナ
23,0.766667,0.666793,-0.177618,1.000000,1.000000,0.429600,0.000000,n,ナ
