frame,time_s,rms,mouth_open_y
0,0.0,3.602e-05,0.0
1,0.033333,0.0,0.0
2,0.066667,0.0,0.0
3,0.1,0.00704591,0.070074
4,0.133333,0.13769348,0.350616
5,0.166667,0.16942229,0.545496
6,0.2,0.15575968,0.643132
7,0.233333,0.16819689,0.712081
8,0.266667,0.10849314,0.689702
9,0.3,0.02712863,0.564779
10,0.333333,0.07988222,0.561323
11,0.366667,0.13397995,0.628256
12,0.4,0.13123638,0.663507
13,0.433333,0.13829601,0.691779
14,0.466667,0.12808074,0.696287
15,0.5,0.07141687,0.63772
16,0.533333,0.03025577,0.53669
17,0.566667,0.02695644,0.463556
18,0.6,0.10451153,0.536392
19,0.633333,0.0759936,0.538341
20,0.666667,0.098309,0.57115
21,0.7,0.13497692,0.635032
22,0.733333,0.13465273,0.671315
23,0.766667,0.13862258,0.696626
24,0.8,0.13067881,0.70209
25,0.833333,0.10558421,0.680142
26,0.866667,0.0958881,0.655453
27,0.9,0.10144681,0.645096
28,0.933333,0.08896689,0.624733
29,0.966667,0.06576132,0.583324
30,1.0,0.01684011,0.471265
31,1.033333,0.00213572,0.341365
32,1.066667,0.00020446,0.225042
33,1.1,3.048e-05,0.148357
34,1.133333,3.052e-05,0.097803
35,1.166667,3.052e-05,0.064475
36,1.2,3.052e-05,0.042505
37,1.233333,3.052e-05,0.028021
38,1.266667,3.052e-05,0.018473
39,1.3,3.052e-05,0.0
40,1.333333,3.052e-05,0.0
41,1.366667,3.052e-05,0.0
42,1.4,3.052e-05,0.0
43,1.433333,3.536e-05,0.0
44,1.466667,0.02195933,0.125209
45,1.5,0.07042229,0.293807
46,1.533333,0.16301598,0.506328
47,1.566667,0.18308491,0.648454
48,1.6,0.15037551,0.696446
49,1.633333,0.09372089,0.663847
50,1.666667,0.00367542,0.478014
51,1.7,0.01824525,0.405393
52,1.733333,0.12668915,0.530341
53,1.766667,0.14347743,0.621149
54,1.8,0.14316622,0.672907
55,1.833333,0.12827179,0.685683
56,1.866667,0.11417508,0.677996
57,1.9,0.17153887,0.735476
58,1.933333,0.14069447,0.735758
59,1.966667,0.01120842,0.555754
60,2.0,0.07155085,0.545242
61,2.033333,0.14673021,0.633272
62,2.066667,0.14186649,0.678422
63,2.1,0.11645481,0.675454
64,2.133333,0.0342969,0.569095
65,2.166667,0.03159698,0.494001
66,2.2,0.06566839,0.497776
67,2.233333,0.09730426,0.546532
68,2.266667,0.05606788,0.518622
69,2.3,0.1391029,0.609557
70,2.333333,0.15115293,0.674967
71,2.366667,0.13450704,0.694062
72,2.4,0.12946014,0.699205
73,2.433333,0.07494027,0.644
74,2.466667,0.00065954,0.441326
75,2.5,0.01569017,0.374636
76,2.533333,0.0691272,0.434865
77,2.566667,0.07477718,0.478235
78,2.6,0.03698921,0.443852
79,2.633333,0.00592855,0.343971
80,2.666667,0.00072659,0.244405
81,2.7,9.32e-06,0.161122
82,2.733333,0.0,0.106218
83,2.766667,0.0,0.070023
84,2.8,0.0,0.046162
85,2.833333,0.0,0.030432
86,2.866667,0.0,0.020062
87,2.9,4.628e-05,0.0
88,2.933333,0.07625476,0.238568
89,2.966667,0.15685916,0.468194
90,3.0,0.16486251,0.608291
91,3.033333,0.07639004,0.585829
92,3.066667,0.00052717,0.386202
93,3.1,0.03675086,0.382765
94,3.133333,0.07687862,0.451536
95,3.166667,0.0060226,0.349444
96,3.2,0.01278111,0.305891
97,3.233333,0.02172328,0.300164
98,3.266667,0.00098435,0.218536
99,3.3,0.0103432,0.211989
100,3.333333,0.04116945,0.291318
101,3.366667,0.07566283,0.397226
102,3.4,0.00511562,0.309562
103,3.433333,0.01212597,0.277633
104,3.466667,0.05222433,0.350427
105,3.5,0.12215611,0.493428
106,3.533333,0.12519875,0.579094
107,3.566667,0.12269473,0.62527
108,3.6,0.0968523,0.620318
109,3.633333,0.00483611,0.455303
110,3.666667,0.00853692,0.361841
111,3.7,0.08274261,0.448217
112,3.733333,0.11084381,0.535665
113,3.766667,0.10962834,0.584307
114,3.8,0.11111671,0.61409
115,3.833333,0.12358444,0.64641
116,3.866667,0.12031295,0.661034
117,3.9,0.11992982,0.668963
118,3.933333,0.10606103,0.658793
119,3.966667,0.05969592,0.597675
120,4.0,0.00262136,0.428055
121,4.033333,0.00011419,0.282191
122,4.066667,3.052e-05,0.186032
123,4.1,3.052e-05,0.12264
124,4.133333,3.052e-05,0.080849
125,4.166667,3.052e-05,0.053299
126,4.2,3.052e-05,0.035137
127,4.233333,3.052e-05,0.023164
128,4.266667,3.052e-05,0.0
129,4.3,3.052e-05,0.0
130,4.333333,3.052e-05,0.0
131,4.366667,3.052e-05,0.0
132,4.4,3.052e-05,0.0
133,4.433333,0.00856364,0.078937
134,4.466667,0.15518219,0.374829
135,4.5,0.19993877,0.577369
136,4.533333,0.16866392,0.674825
137,4.566667,0.1087497,0.665402
138,4.6,0.02149399,0.536646
139,4.633333,0.03527191,0.479336
140,4.666667,0.12209986,0.567322
141,4.7,0.03126074,0.492198
142,4.733333,0.01076476,0.393772
143,4.766667,0.09972153,0.490081
144,4.8,0.04904368,0.471153
145,4.833333,0.00038837,0.310603
146,4.866667,0.07448446,0.406492
147,4.9,0.08211148,0.472916
148,4.933333,0.038663,0.443224
149,4.966667,0.05580726,0.451887
150,5.0,0.06151079,0.466713
151,5.033333,0.04098014,0.443021
152,5.066667,0.0254243,0.398638
153,5.1,0.10572216,0.500707
154,5.133333,0.13242733,0.591698
155,5.166667,0.11725948,0.625936
156,5.2,0.1033314,0.628026
157,5.233333,0.09467422,0.61978
158,5.266667,0.09936399,0.619381
159,5.3,0.09200768,0.611161
160,5.333333,0.08884467,0.602225
161,5.366667,0.05959008,0.560238
162,5.4,0.00853752,0.43102
163,5.433333,0.00169542,0.311436
164,5.466667,7.069e-05,0.205311
165,5.5,3.052e-05,0.13535
166,5.533333,3.052e-05,0.089228
167,5.566667,3.052e-05,0.058823
168,5.6,3.052e-05,0.038778
169,5.633333,3.052e-05,0.025564
170,5.666667,3.052e-05,0.016853
171,5.7,3.052e-05,0.0
172,5.733333,3.052e-05,0.0
173,5.766667,3.052e-05,0.0
174,5.8,3.052e-05,0.0
175,5.833333,3.052e-05,0.0
176,5.866667,2.98e-05,0.0
177,5.9,0.01822865,0.113654
178,5.933333,0.09081099,0.317281
179,5.966667,0.15734397,0.513868
180,6.0,0.13673509,0.604161
181,6.033333,0.0940075,0.603322
182,6.066667,0.030396,0.514282
183,6.1,0.04564299,0.481878
184,6.133333,0.14968932,0.600132
185,6.166667,0.15513918,0.67382
186,6.2,0.11711557,0.673068
187,6.233333,0.05004209,0.593285
188,6.266667,0.02835357,0.503678
189,6.3,0.06274553,0.49954
190,6.333333,0.12451008,0.581786
191,6.366667,0.1211925,0.625015
192,6.4,0.07794674,0.598729
193,6.433333,0.00406265,0.437176
194,6.466667,0.03447609,0.412336
195,6.5,0.06792802,0.454578
196,6.533333,0.12971441,0.562096
197,6.566667,0.13245255,0.626949
198,6.6,0.08917144,0.612999
199,6.633333,0.00097802,0.424701
200,6.666667,0.02895893,0.393737
201,6.7,0.10414802,0.495862
202,6.733333,0.12044027,0.57481
203,6.766667,0.11294102,0.610922
204,6.8,0.10478952,0.621303
205,6.833333,0.09473142,0.61541
206,6.866667,0.06409939,0.574996
207,6.9,0.06961695,0.555493
208,6.933333,0.01715691,0.453732
209,6.966667,9.743e-05,0.299118
210,7.0,0.06361592,0.382583
211,7.033333,0.12350349,0.513486
212,7.066667,0.13152242,0.597988
213,7.1,0.1149745,0.62674
214,7.133333,0.01111658,0.483594
215,7.166667,0.02257713,0.419233
216,7.2,0.10439935,0.510816
217,7.233333,0.09217854,0.547046
218,7.266667,0.12337144,0.607689
219,7.3,0.10327696,0.617486
220,7.333333,0.06314548,0.5751
221,7.366667,0.01038195,0.447177
222,7.4,0.00049752,0.294797
223,7.433333,2.974e-05,0.194342
224,7.466667,3.052e-05,0.128118
225,7.5,3.052e-05,0.084461
226,7.533333,3.052e-05,0.05568
227,7.566667,3.052e-05,0.036707
228,7.6,3.052e-05,0.024198
229,7.633333,3.173e-05,0.015953
230,7.666667,0.01941437,0.125632
231,7.7,0.02999122,0.216894
232,7.733333,0.10323546,0.393212
233,7.766667,0.01463712,0.340054
234,7.8,0.01662881,0.310346
235,7.833333,0.14925599,0.501246
236,7.866667,0.16076588,0.623007
237,7.9,0.11510754,0.641259
238,7.933333,0.0109319,0.492576
239,7.966667,0.00713663,0.381107
240,8.0,0.07647575,0.449976
241,8.033333,0.11568259,0.54269
242,8.066667,0.12192198,0.603459
243,8.1,0.1253543,0.642409
244,8.133333,0.1236461,0.662732
245,8.166667,0.0991665,0.647486
246,8.2,0.06057634,0.591422
247,8.233333,0.02892812,0.503585
248,8.266667,0.02862157,0.445075
249,8.3,0.01833105,0.383891
250,8.333333,0.00510924,0.30074
251,8.366667,0.0003136,0.19826
252,8.4,0.0,0.130701
253,8.433333,0.0,0.086164
254,8.466667,0.0,0.056803
255,8.5,0.0,0.037447
256,8.533333,0.0,0.024686
257,8.566667,0.0,0.016274
258,8.6,0.02017722,0.128086
259,8.633333,0.07740465,0.306206
260,8.666667,0.1003898,0.440724
261,8.7,0.00302852,0.327164
262,8.733333,0.03720985,0.349028
263,8.766667,0.06477556,0.413134
264,8.8,0.04643842,0.417266
265,8.833333,0.03945502,0.407879
266,8.866667,0.17123404,0.580188
267,8.9,0.21034901,0.695194
268,8.933333,0.1573992,0.730755
269,8.966667,0.13660058,0.728911
270,9.0,0.1555392,0.748133
271,9.033333,0.17060195,0.77477
272,9.066667,0.18993552,0.806837
273,9.1,0.18903616,0.825235
274,9.133333,0.20359478,0.835791
275,9.166667,0.14528597,0.805894
276,9.2,0.03416053,0.65484
277,9.233333,0.0486901,0.579233
278,9.266667,0.14804896,0.654211
279,9.3,0.15693992,0.706756
280,9.333333,0.17259937,0.753047
281,9.366667,0.16218848,0.76896
282,9.4,0.17110035,0.787224
283,9.433333,0.16072251,0.78708
284,9.466667,0.07093761,0.696973
285,9.5,0.00031319,0.459473
286,9.533333,0.07732347,0.496218
287,9.566667,0.14374634,0.601868
288,9.6,0.13462811,0.652259
289,9.633333,0.10686169,0.648603
290,9.666667,0.04819957,0.574376
291,9.7,0.00740133,0.436073
292,9.733333,0.00111894,0.309543
293,9.766667,4.666e-05,0.204063
294,9.8,3.052e-05,0.134527
295,9.833333,3.052e-05,0.088685
296,9.866667,3.052e-05,0.058465
297,9.9,3.052e-05,0.038543
298,9.933333,3.052e-05,0.025409
299,9.966667,3.052e-05,0.016751
300,10.0,3.052e-05,0.0
301,10.033333,3.052e-05,0.0
302,10.066667,3.052e-05,0.0
303,10.1,3.052e-05,0.0
304,10.133333,0.00016724,0.0
305,10.166667,0.10330236,0.270052
306,10.2,0.15277642,0.481917
307,10.233333,0.01248087,0.392328
308,10.266667,0.15533717,0.554803
309,10.3,0.16225444,0.655285
310,10.333333,0.01038706,0.500055
311,10.366667,0.03947435,0.462489
312,10.4,0.0921763,0.519315
313,10.433333,0.03794115,0.472579
314,10.466667,0.00058371,0.311543
315,10.5,0.10741971,0.452912
316,10.533333,0.14270448,0.575869
317,10.566667,0.00998687,0.446373
318,10.6,0.05918237,0.459584
319,10.633333,0.08485109,0.507344
320,10.666667,0.18473387,0.650646
321,10.7,0.15984081,0.70776
322,10.733333,0.14455641,0.724133
323,10.766667,0.04339038,0.616649
324,10.8,0.00400191,0.448669
325,10.833333,0.0562755,0.455838
326,10.866667,0.12917628,0.562193
327,10.9,0.11789252,0.609781
328,10.933333,0.18108991,0.705854
329,10.966667,0.16070443,0.740338
330,11.0,0.06800472,0.662437
331,11.033333,0.07470453,0.619473
