start_s,end_s,phoneme,sentence,mora,start_s_source,end_s_source,start_s_concat,end_s_concat,begin_frame,end_frame
0.043226,0.073226,g,N01_01,ゲ,0.0425,0.0725,0.0425,0.0725,3,5
0.073226,0.113226,e,N01_01,ゲ,0.0725,0.1125,0.0725,0.1125,6,9
0.113226,0.173226,N,N01_01,ン,0.1125,0.1725,0.1125,0.1725,10,15
0.173226,0.233226,z,N01_01,ゼ,0.1725,0.2325,0.1725,0.2325,16,21
0.233226,0.283226,e,N01_01,ゼ,0.2325,0.2825,0.2325,0.2825,22,26
0.283226,0.313226,e,N01_01,エ,0.2825,0.3125,0.2825,0.3125,27,29
0.313226,0.373226,o,N01_01,オ,0.3125,0.3725,0.3125,0.3725,30,35
0.373226,0.503226,s,N01_01,ス,0.3725,0.5025,0.3725,0.5025,36,48
0.503226,0.533226,u,N01_01,ス,0.5025,0.5325,0.5025,0.5325,49,51
0.533226,0.583226,r,N01_01,ル,0.5325,0.5825,0.5325,0.5825,52,56
0.583226,0.613226,u,N01_01,ル,0.5825,0.6125,0.5825,0.6125,57,59
0.613226,0.683226,n,N01_01,ナ,0.6125,0.6825,0.6125,0.6825,60,66
0.683226,0.743226,a,N01_01,ナ,0.6825,0.7425,0.6825,0.7425,67,72
0.743226,0.803226,r,N01_01,ラ,0.7425,0.8025,0.7425,0.8025,73,78
0.803226,0.983226,a,N01_01,ラ,0.8025,0.9825,0.8025,0.9825,79,96
0.983226,1.323226,sp,N01_01,",",0.9825,1.3225,0.9825,1.3225,97,130
1.323226,1.433226,z,N01_01,ザ,1.3225,1.4325,1.3225,1.4325,131,141
1.433226,1.503226,a,N01_01,ザ,1.4325,1.5025,1.4325,1.5025,142,148
1.503226,1.563226,i,N01_01,イ,1.5025,1.5625,1.5025,1.5625,149,154
1.563226,1.623226,g,N01_01,ゲ,1.5625,1.6225,1.5625,1.6225,155,160
1.623226,1.693226,e,N01_01,ゲ,1.6225,1.6925,1.6225,1.6925,161,167
1.693226,1.723226,N,N01_01,ン,1.6925,1.7225,1.6925,1.7225,168,170
1.723226,1.803226,w,N01_01,ワ,1.7225,1.8025,1.7225,1.8025,171,178
1.803226,1.833226,a,N01_01,ワ,1.8025,1.8325,1.8025,1.8325,179,181
1.833226,1.923226,d,N01_01,ド,1.8325,1.9225,1.8325,1.9225,182,190
1.923226,1.963226,o,N01_01,ド,1.9225,1.9625,1.9225,1.9625,191,194
1.963226,1.993226,o,N01_01,オ,1.9625,1.9925,1.9625,1.9925,195,197
1.993226,2.113226,s,N01_01,ス,1.9925,2.1125,1.9925,2.1125,198,209
2.113226,2.143226,u,N01_01,ス,2.1125,2.1425,2.1125,2.1425,210,212
2.143226,2.173226,r,N01_01,ル,2.1425,2.1725,2.1425,2.1725,213,215
2.173226,2.213226,u,N01_01,ル,2.1725,2.2125,2.1725,2.2125,216,219
2.213226,2.293226,n,N01_01,ノ,2.2125,2.2925,2.2125,2.2925,220,227
2.293226,2.363226,o,N01_01,ノ,2.2925,2.3625,2.2925,2.3625,228,234
2.363226,2.423226,k,N01_01,カ,2.3625,2.4225,2.3625,2.4225,235,240
2.423226,2.453226,a,N01_01,カ,2.4225,2.4525,2.4225,2.4525,241,243
2.453226,2.483226,sp,N01_01,.,2.4525,2.4825,2.4525,2.4825,244,246
2.8549494,2.8949494,y,N01_02,ヨ,0.0425,0.0825,2.8542234,2.8942234,3,6
2.8949494,2.9649494,o,N01_02,ヨ,0.0825,0.1525,2.8942234,2.9642234,7,13
2.9649494,3.0049494,k,N01_02,ク,0.1525,0.1925,2.9642234,3.0042234,14,17
3.0049494,3.0649494,u,N01_02,ク,0.1925,0.2525,3.0042234,3.0642234,18,23
3.0649494,3.1249494,k,N01_02,キ,0.2525,0.3125,3.0642234,3.1242234,24,29
3.1249494,3.1749494,i,N01_02,キ,0.3125,0.3625,3.1242234,3.1742234,30,34
