start_s,end_s,phoneme,sentence,mora,start_s_source,end_s_source,start_s_concat,end_s_concat,begin_frame,end_frame
0.083226,0.133226,g,N01_01,ゲ,0.0825,0.1325,0.0825,0.1325,7,11
0.133226,0.213226,e,N01_01,ゲ,0.1325,0.2125,0.1325,0.2125,12,19
0.213226,0.263226,N,N01_01,ン,0.2125,0.2625,0.2125,0.2625,20,24
0.263226,0.353226,z,N01_01,ゼ,0.2625,0.3525,0.2625,0.3525,25,33
0.353226,0.383226,e,N01_01,ゼ,0.3525,0.3825,0.3525,0.3825,34,36
0.383226,0.413226,e,N01_01,エ,0.3825,0.4125,0.3825,0.4125,37,39
0.413226,0.473226,o,N01_01,オ,0.4125,0.4725,0.4125,0.4725,40,45
0.473226,0.593226,s,N01_01,ス,0.4725,0.5925,0.4725,0.5925,46,57
0.593226,0.633226,u,N01_01,ス,0.5925,0.6325,0.5925,0.6325,58,61
0.633226,0.693226,r,N01_01,ル,0.6325,0.6925,0.6325,0.6925,62,67
0.693226,0.723226,u,N01_01,ル,0.6925,0.7225,0.6925,0.7225,68,70
0.723226,0.793226,n,N01_01,ナ,0.7225,0.7925,0.7225,0.7925,71,77
0.793226,0.833226,a,N01_01,ナ,0.7925,0.8325,0.7925,0.8325,78,81
0.833226,0.913226,r,N01_01,ラ,0.8325,0.9125,0.8325,0.9125,82,89
0.913226,1.103226,a,N01_01,ラ,0.9125,1.1025,0.9125,1.1025,90,108
1.103226,1.433226,sp,N01_01,",",1.1025,1.4325,1.1025,1.4325,109,141
1.433226,1.543226,z,N01_01,ザ,1.4325,1.5425,1.4325,1.5425,142,152
1.543226,1.603226,a,N01_01,ザ,1.5425,1.6025,1.5425,1.6025,153,158
1.603226,1.673226,i,N01_01,イ,1.6025,1.6725,1.6025,1.6725,159,165
1.673226,1.723226,g,N01_01,ゲ,1.6725,1.7225,1.6725,1.7225,166,170
1.723226,1.793226,e,N01_01,ゲ,1.7225,1.7925,1.7225,1.7925,171,177
1.793226,1.843226,N,N01_01,ン,1.7925,1.8425,1.7925,1.8425,178,182
1.843226,1.913226,w,N01_01,ワ,1.8425,1.9125,1.8425,1.9125,183,189
1.913226,1.963226,a,N01_01,ワ,1.9125,1.9625,1.9125,1.9625,190,194
1.963226,2.023226,d,N01_01,ド,1.9625,2.0225,1.9625,2.0225,195,200
2.023226,2.063226,o,N01_01,ド,2.0225,2.0625,2.0225,2.0625,201,204
2.063226,2.093226,o,N01_01,オ,2.0625,2.0925,2.0625,2.0925,205,207
2.093226,2.213226,s,N01_01,ス,2.0925,2.2125,2.0925,2.2125,208,219
2.213226,2.243226,u,N01_01,ス,2.2125,2.2425,2.2125,2.2425,220,222
2.243226,2.303226,r,N01_01,ル,2.2425,2.3025,2.2425,2.3025,223,228
2.303226,2.333226,u,N01_01,ル,2.3025,2.3325,2.3025,2.3325,229,231
2.333226,2.403226,n,N01_01,ノ,2.3325,2.4025,2.3325,2.4025,232,238
2.403226,2.463226,o,N01_01,ノ,2.4025,2.4625,2.4025,2.4625,239,244
2.463226,2.523226,k,N01_01,カ,2.4625,2.5225,2.4625,2.5225,245,250
2.523226,2.713226,a,N01_01,カ,2.5225,2.7125,2.5225,2.7125,251,269
2.713226,2.773226,sp,N01_01,.,2.7125,2.7725,2.7125,2.7725,270,275
2.9249494,2.9949494,y,N01_02,ヨ,0.1125,0.1825,2.9242234,2.9942234,10,16
2.9949494,3.0649494,o,N01_02,ヨ,0.1825,0.2525,2.9942234,3.0642234,17,23
3.0649494,3.1049494,k,N01_02,ク,0.2525,0.2925,3.0642234,3.1042234,24,27
3.1049494,3.1549494,u,N01_02,ク,0.2925,0.3425,3.1042234,3.1542234,28,32
3.1549494,3.2349494,k,N01_02,キ,0.3425,0.4225,3.1542234,3.2342234,33,40
3.2349494,3.2849494,i,N01_02,キ,0.4225,0.4725,3.2342234,3.2842234,41,45
3.2849494,3.3549494,k,N01_02,ク,0.4725,0.5425,3.2842234,3.3542234,46,52
3.3549494,3.3849494,u,N01_02,ク,0.5425,0.5725,3.3542234,3.3842234,53,55
3.3849494,3.4749494,k,N01_02,コ,0.5725,0.6625,3.3842234,3.4742234,56,64
3.4749494,3.5149494,o,N01_02,コ,0.6625,0.7025,3.4742234,3.5142234,65,68
3.5149494,3.5749494,n,N01_02,ノ,0.7025,0.7625,3.5142234,3.5742234,69,74
3.5749494,3.6149494,o,N01_02,ノ,0.7625,0.8025,3.5742234,3.6142234,75,78
3.6149494,3.6949494,t,N01_02,ト,0.8025,0.8825,3.6142234,3.6942234,79,86
3.6949494,3.7549494,o,N01_02,ト,0.8825,0.9425,3.6942234,3.7542234,87,92
3.7549494,3.8249494,i,N01_02,イ,0.9425,1.0125,3.7542234,3.8242234,93,99
3.8249494,3.9149494,n,N01_02,ニ,1.0125,1.1025,3.8242234,3.9142234,100,108
3.9149494,4.0649494,i,N01_02,ニ,1.1025,1.2525,3.9142234,4.0642234,109,123
4.0649494,4.4249494,sp,N01_02,",",1.2525,1.6125,4.0642234,4.4242234,124,159
4.4249494,4.5549494,a,N01_02,ア,1.6125,1.7425,4.4242234,4.5542234,160,172
4.5549494,4.6149494,i,N01_02,イ,1.7425,1.8025,4.5542234,4.6142234,173,178
4.6149494,4.6549494,d,N01_02,ダ,1.8025,1.8425,4.6142234,4.6542234,179,182
4.6549494,4.7049494,a,N01_02,ダ,1.8425,1.8925,4.6542234,4.7042234,183,187
4.7049494,4.7649494,t,N01_02,タ,1.8925,1.9525,4.7042234,4.7642234,188,193
4.7649494,4.8249494,a,N01_02,タ,1.9525,2.0125,4.7642234,4.8242234,194,199
4.8249494,4.8749494,k,N01_02,ク,2.0125,2.0625,4.8242234,4.8742234,200,204
4.8749494,4.9049494,u,N01_02,ク,2.0625,2.0925,4.8742234,4.9042234,205,207
4.9049494,4.9849494,j,N01_02,ジ,2.0925,2.1725,4.9042234,4.9842234,208,215
4.9849494,5.0149494,i,N01_02,ジ,2.1725,2.2025,4.9842234,5.0142234,216,218
5.0149494,5.1049494,s,N01_02,サ,2.2025,2.2925,5.0142234,5.1042234,219,227
5.1049494,5.1849494,a,N01_02,サ,2.2925,2.3725,5.1042234,5.1842234,228,235
5.1849494,5.2349494,N,N01_02,ン,2.3725,2.4225,5.1842234,5.2342234,236,240
5.2349494,5.3049494,w,N01_02,ワ,2.4225,2.4925,5.2342234,5.3042234,241,247
5.3049494,5.4949494,a,N01_02,ワ,2.4925,2.6825,5.3042234,5.4942234,248,266
5.4949494,5.8549494,sp,N01_02,[observed_pause: N01_02 san-wa],2.6825,3.0425,5.4942234,5.8542234,267,302
5.8549494,5.9249494,k,N01_02,ケ,3.0425,3.1125,5.8542234,5.9242234,303,309
5.9249494,5.9949494,e,N01_02,ケ,3.1125,3.1825,5.9242234,5.9942234,310,316
5.9949494,6.0349494,i,N01_02,イ,3.1825,3.2225,5.9942234,6.0342234,317,320
6.0349494,6.1249494,z,N01_02,ザ,3.2225,3.3125,6.0342234,6.1242234,321,329
6.1249494,6.1749494,a,N01_02,ザ,3.3125,3.3625,6.1242234,6.1742234,330,334
6.1749494,6.2249494,i,N01_02,イ,3.3625,3.4125,6.1742234,6.2242234,335,339
6.2249494,6.3149494,s,N01_02,セ,3.4125,3.5025,6.2242234,6.3142234,340,348
6.3149494,6.3749494,e,N01_02,セ,3.5025,3.5625,6.3142234,6.3742234,349,354
6.3749494,6.4449494,i,N01_02,イ,3.5625,3.6325,6.3742234,6.4442234,355,361
6.4449494,6.5249494,ch,N01_02,チョ,3.6325,3.7125,6.4442234,6.5242234,362,369
6.5249494,6.5749494,o,N01_02,チョ,3.7125,3.7625,6.5242234,6.5742234,370,374
6.5749494,6.6249494,o,N01_02,オ,3.7625,3.8125,6.5742234,6.6242234,375,379
6.6249494,6.6849494,t,N01_02,ト,3.8125,3.8725,6.6242234,6.6842234,380,385
