frame,time_s,rms,mouth_open_y,v1_open,phoneme,sentence,mora
0,0.0,3.602e-05,0.0,0.0,sil,,
1,0.033333,0.0,0.0,0.0,sil,,
2,0.066667,0.0,0.064145,0.0,sil,,
3,0.1,0.00704591,0.379506,0.070074,g,N01_01,ゲ
4,0.133333,0.13769348,0.615189,0.350616,e,N01_01,ゲ
5,0.166667,0.16942229,0.62353,0.545496,e,N01_01,ゲ
6,0.2,0.15575968,0.299325,0.643132,e,N01_01,ゲ
7,0.233333,0.16819689,0.152177,0.712081,N,N01_01,ン
8,0.266667,0.10849314,0.187602,0.689702,z,N01_01,ゼ
9,0.3,0.02712863,0.193071,0.564779,z,N01_01,ゼ
10,0.333333,0.07988222,0.402228,0.561323,z,N01_01,ゼ
11,0.366667,0.13397995,0.613883,0.628256,e,N01_01,ゼ
12,0.4,0.13123638,0.585974,0.663507,e,N01_01,エ
13,0.433333,0.13829601,0.542558,0.691779,o,N01_01,オ
14,0.466667,0.12808074,0.255771,0.696287,o,N01_01,オ
15,0.5,0.07141687,0.19,0.63772,s,N01_01,ス
16,0.533333,0.03025577,0.190148,0.53669,s,N01_01,ス
17,0.566667,0.02695644,0.243057,0.463556,s,N01_01,ス
18,0.6,0.10451153,0.330599,0.536392,u,N01_01,ス
19,0.633333,0.0759936,0.224311,0.538341,r,N01_01,ル
20,0.666667,0.098309,0.261744,0.57115,r,N01_01,ル
21,0.7,0.13497692,0.396139,0.635032,u,N01_01,ル
22,0.733333,0.13465273,0.447055,0.671315,n,N01_01,ナ
23,0.766667,0.13862258,0.547512,0.696626,n,N01_01,ナ
24,0.8,0.13067881,0.704579,0.70209,a,N01_01,ナ
25,0.833333,0.10558421,0.472643,0.680142,r,N01_01,ラ
26,0.866667,0.0958881,0.454919,0.655453,r,N01_01,ラ
27,0.9,0.10144681,0.625015,0.645096,r,N01_01,ラ
28,0.933333,0.08896689,0.708338,0.624733,a,N01_01,ラ
29,0.966667,0.06576132,0.708607,0.583324,a,N01_01,ラ
30,1.0,0.01684011,0.453963,0.471265,a,N01_01,ラ
31,1.033333,0.00213572,0.113963,0.341365,a,N01_01,ラ
32,1.066667,0.00020446,0.0,0.225042,a,N01_01,ラ
33,1.1,3.048e-05,0.0,0.148357,a,N01_01,ラ
34,1.133333,3.052e-05,0.0,0.097803,sp,N01_01,","
35,1.166667,3.052e-05,0.0,0.064475,sp,N01_01,","
36,1.2,3.052e-05,0.0,0.042505,sp,N01_01,","
37,1.233333,3.052e-05,0.0,0.028021,sp,N01_01,","
38,1.266667,3.052e-05,0.0,0.018473,sp,N01_01,","
39,1.3,3.052e-05,0.0,0.0,sp,N01_01,","
40,1.333333,3.052e-05,0.0,0.0,sp,N01_01,","
41,1.366667,3.052e-05,0.0,0.0,sp,N01_01,","
42,1.4,3.052e-05,0.0,0.0,sp,N01_01,","
43,1.433333,3.536e-05,0.11554,0.0,z,N01_01,ザ
44,1.466667,0.02195933,0.18947,0.125209,z,N01_01,ザ
45,1.5,0.07042229,0.217752,0.293807,z,N01_01,ザ
46,1.533333,0.16301598,0.557752,0.506328,z,N01_01,ザ
47,1.566667,0.18308491,0.754282,0.648454,a,N01_01,ザ
48,1.6,0.15037551,0.445686,0.696446,a,N01_01,ザ
49,1.633333,0.09372089,0.3952,0.663847,i,N01_01,イ
50,1.666667,0.00367542,0.366081,0.478014,i,N01_01,イ
