frame,time_s,rms,mouth_open_y,v1_open,phoneme,sentence,mora,mouth_form,eye_l_open,eye_r_open,breath,angle_z
0,0.0,3.602e-05,0.0,0.0,sil,,,0.0,1.000000,1.000000,0.000000,0.000000
1,0.033333,0.0,0.0,0.0,sil,,,0.0,1.000000,1.000000,0.019723,0.000000
2,0.066667,0.0,0.064145,0.0,sil,,,0.0,1.000000,1.000000,0.039839,0.000000
3,0.1,0.00704591,0.379506,0.070074,g,N01_01,ゲ,0.011148,1.000000,1.000000,0.060391,0.000000
4,0.133333,0.13769348,0.615189,0.350616,e,N01_01,ゲ,0.05487,1.000000,1.000000,0.081423,0.000000
5,0.166667,0.16942229,0.62353,0.545496,e,N01_01,ゲ,0.151201,1.000000,1.000000,0.102973,0.000000
6,0.2,0.15575968,0.299325,0.643132,e,N01_01,ゲ,0.261387,1.000000,1.000000,0.125079,0.000000
7,0.233333,0.16819689,0.152177,0.712081,N,N01_01,ン,0.326818,1.000000,1.000000,0.147776,0.000000
8,0.266667,0.10849314,0.187602,0.689702,z,N01_01,ゼ,0.346971,1.000000,1.000000,0.171093,0.000000
9,0.3,0.02712863,0.193071,0.564779,z,N01_01,ゼ,0.348544,1.000000,1.000000,0.195059,0.000000
10,0.333333,0.07988222,0.402228,0.561323,z,N01_01,ゼ,0.326325,1.000000,1.000000,0.219698,0.000000
11,0.366667,0.13397995,0.613883,0.628256,e,N01_01,ゼ,0.217691,1.000000,1.000000,0.245032,0.000000
12,0.4,0.13123638,0.585974,0.663507,e,N01_01,エ,-0.065088,1.000000,1.000000,0.271079,0.000000
13,0.433333,0.13829601,0.542558,0.691779,o,N01_01,オ,-0.465515,1.000000,1.000000,0.297852,0.000000
14,0.466667,0.12808074,0.255771,0.696287,o,N01_01,オ,-0.765789,1.000000,1.000000,0.325361,0.000000
15,0.5,0.07141687,0.19,0.63772,s,N01_01,ス,-0.865918,1.000000,1.000000,0.353613,0.000000
16,0.533333,0.03025577,0.190148,0.53669,s,N01_01,ス,-0.848419,1.000000,1.000000,0.358697,0.000000
17,0.566667,0.02695644,0.243057,0.463556,s,N01_01,ス,-0.800493,1.000000,1.000000,0.363840,0.000000
